instance,k,T10m,TInf
gdb1,2,147,147
gdb1,3,98,98
gdb1,4,77,77
gdb1,5,69,69
gdb1,6,63,63
gdb1,7,63,63
gdb1,8,63,63
gdb1,9,63,63
gdb2,2,158,158
gdb2,3,105,105
gdb2,4,81,81
gdb2,5,68,68
gdb2,6,60,60
gdb2,7,60,60
gdb2,8,59,59
gdb2,9,59,59
gdb3,2,130,130
gdb3,3,87,87
gdb3,4,68,68
gdb3,5,60,60
gdb3,6,60,60
gdb3,7,59,59
gdb3,8,59,59
gdb3,9,59,59
gdb4,2,133,133
gdb4,3,90,90
gdb4,4,74,74
gdb4,5,66,66
gdb4,6,64,64
gdb4,7,64,64
gdb4,8,64,64
gdb4,9,64,64
gdb5,2,173,173
gdb5,3,116,116
gdb5,4,90,90
gdb5,5,77,77
gdb5,6,72,72
gdb5,7,66,66
gdb5,8,64,64
gdb5,9,64,64
gdb6,2,140,140
gdb6,3,94,94
gdb6,4,75,75
gdb6,5,68,68
gdb6,6,64,64
gdb6,7,64,64
gdb6,8,64,64
gdb6,9,64,64
gdb7,2,152,152
gdb7,3,102,102
gdb7,4,77,77
gdb7,5,68,68
gdb7,6,64,64
gdb7,7,60,60
gdb7,8,58,58
gdb7,9,57,57
gdb8,2,125,125
gdb8,3,89,88
gdb8,4,68,67
gdb8,5,53,53
gdb8,6,50,50
gdb8,7,44,44
gdb8,8,44,44
gdb8,9,40,40
gdb9,2,124,124
gdb9,3,83,83
gdb9,4,63,63
gdb9,5,51,51
gdb9,6,45,45
gdb9,7,42,42
gdb9,8,39,39
gdb9,9,39,39
gdb10,2,138,138
gdb10,3,92,92
gdb10,4,71,71
gdb10,5,59,59
gdb10,6,54,54
gdb10,7,49,49
gdb10,8,44,44
gdb10,9,44,44
gdb11,2,194,194
gdb11,3,129,129
gdb11,4,98,98
gdb11,5,82,81
gdb11,6,71,70
gdb11,7,62,62
gdb11,8,58,57
gdb11,9,54,53
gdb12,2,192,192
gdb12,3,131,131
gdb12,4,100,100
gdb12,5,96,96
gdb12,6,93,93
gdb12,7,93,93
gdb12,8,93,93
gdb12,9,93,93
gdb13,2,260,260
gdb13,3,174,174
gdb13,4,131,131
gdb13,5,128,128
gdb13,6,128,128
gdb13,7,128,128
gdb13,8,128,128
gdb13,9,128,128
gdb14,2,48,48
gdb14,3,32,32
gdb14,4,25,25
gdb14,5,20,20
gdb14,6,18,18
gdb14,7,17,17
gdb14,8,16,16
gdb14,9,16,16
gdb15,2,28,28
gdb15,3,19,19
gdb15,4,15,15
gdb15,5,12,12
gdb15,6,11,11
gdb15,7,10,10
gdb15,8,9,9
gdb15,9,8,8
gdb16,2,63,63
gdb16,3,42,42
gdb16,4,32,32
gdb16,5,26,26
gdb16,6,22,22
gdb16,7,19,19
gdb16,8,18,18
gdb16,9,16,16
gdb17,2,46,46
gdb17,3,31,31
gdb17,4,23,23
gdb17,5,19,19
gdb17,6,16,16
gdb17,7,14,14
gdb17,8,12,12
gdb17,9,11,11
gdb18,2,79,79
gdb18,3,53,53
gdb18,4,40,40
gdb18,5,33,33
gdb18,6,29,29
gdb18,7,26,26
gdb18,8,24,24
gdb18,9,23,23
gdb19,2,28,28
gdb19,3,21,21
gdb19,4,17,17
gdb19,5,17,17
gdb19,6,17,17
gdb19,7,17,17
gdb19,8,17,17
gdb19,9,17,17
gdb20,2,61,61
gdb20,3,41,41
gdb20,4,31,31
gdb20,5,26,26
gdb20,6,22,22
gdb20,7,20,20
gdb20,8,20,20
gdb20,9,20,20
gdb21,2,77,77
gdb21,3,52,52
gdb21,4,39,39
gdb21,5,31,31
gdb21,6,27,27
gdb21,7,24,24
gdb21,8,22,22
gdb21,9,20,20
gdb22,2,98,98
gdb22,3,66,66
gdb22,4,49,49
gdb22,5,40,40
gdb22,6,34,34
gdb22,7,29,29
gdb22,8,26,26
gdb22,9,23,23
gdb23,2,112,112
gdb23,3,75,75
gdb23,4,56,56
gdb23,5,45,45
gdb23,6,38,38
gdb23,7,33,33
gdb23,8,30,29
gdb23,9,27,27
