Instance,Edges,k,Seed,Objective,Total Time (s),Best Num Evals,Best Actual Time (s)
howe1,37,2,3520,120.136,169.324,343488,72.6036
howe1,37,2,8115,113.985,171.298,389313,83.9385
howe1,37,2,8647,119.127,170.29,236548,54.1031
howe1,37,2,9420,120.136,169.635,202590,47.3827
howe1,37,2,3116,112.871,166.244,269884,60.9046
howe1,37,2,6377,123.734,176.462,826731,149.731
howe1,37,2,6207,121.989,174.304,326565,72.2944
howe1,37,2,4187,127.003,179.07,378138,78.2429
howe1,37,2,3641,119.433,179.359,435518,92.1989
howe1,37,2,8591,133.391,182.596,188075,44.9908
howe1,37,2,3580,115.433,175.536,334222,73.8855
howe1,37,2,8524,113.706,169.419,664597,121.355
howe1,37,2,2650,126.829,178.34,294423,66.1719
howe1,37,2,2811,123.829,175.682,284482,59.8055
howe1,37,2,9963,115.013,180.309,453081,95.9432
howe1,37,2,7537,116.565,171.294,608578,111.355
howe1,37,2,3472,116.994,174.071,676846,125.388
howe1,37,2,3714,117.811,168.786,553960,100.932
howe1,37,2,8158,130.523,178.9,290303,62.4085
howe1,37,2,7284,120.154,178.635,688084,130.31
howe1,37,2,6948,120.25,163.297,189662,41.0862
howe1,37,2,6119,120.136,174.512,266659,62.9048
howe1,37,2,5253,121.112,175.984,442199,90.4126
howe1,37,2,5134,124.25,177.128,251104,58.0942
howe1,37,2,7350,130.112,183.048,926142,170.479
howe1,37,2,2652,121.4,177.399,292150,63.7685
howe1,37,2,9968,116.268,169.497,278951,60.8344
howe1,37,2,3914,120.145,176.07,308116,71.2619
howe1,37,2,6899,117.82,179.592,316277,69.5774
howe1,37,2,4715,127.82,178.808,283381,64.1836
howe1,37,4,3520,91.8204,232.111,811534,191.915
howe1,37,4,8115,78.9945,219.14,209283,57.7071
howe1,37,4,8647,73.8623,196.323,235596,60.7677
howe1,37,4,9420,73.8623,208.11,376160,93.8451
howe1,37,4,3116,77.5468,209.339,244236,65.5553
howe1,37,4,6377,78.8531,208.188,232843,61.8116
howe1,37,4,6207,72.4147,204.501,441041,105.742
howe1,37,4,4187,68.7209,192.349,277515,70.8812
howe1,37,4,3641,70.9945,205.552,987629,203.132
howe1,37,4,8591,74.8531,202.853,395992,91.6255
howe1,37,4,3580,71.1685,197.926,678419,146.184
howe1,37,4,8524,75.9852,198.656,293019,72.5626
howe1,37,4,2650,74.268,200.329,244349,61.4726
howe1,37,4,2811,75.7064,204.875,312340,80.536
howe1,37,4,9963,79.5887,213.434,630231,142.073
howe1,37,4,7537,73.5468,203.839,868884,180.695
