GA Version,k,Pop,Gens,Seeds,Selection,Crossover,PX,Mutator,PM,Problem Instance,Num Edges,Num Vertices,Num Odd Edge Vertices,Sum Edges,,Best Total Travel Distance,Best Longest Route,Average Best Per Seed,Standard Dev Subtour Distance,Time Sec,Best Seed,Best Tour
,2,,,,,,,,,1A,,,,,,,,,,,,
,3,,,,,,,,,1A,,,,,,,,,,,,
,4,,,,,,,,,1A,,,,,,,,,,,,
,5,,,,,,,,,1A,,,,,,,,,,,,
,6,,,,,,,,,1A,,,,,,,,,,,,
,7,,,,,,,,,1A,,,,,,,,,,,,
,8,,,,,,,,,1A,,,,,,,,,,,,
,9,,,,,,,,,1A,,,,,,,,,,,,
,10,,,,,,,,,1A,,,,,,,,,,,,
,2,,,,,,,,,2A,,,,,,,,,,,,
,3,,,,,,,,,2A,,,,,,,,,,,,
,4,,,,,,,,,2A,,,,,,,,,,,,
,5,,,,,,,,,2A,,,,,,,,,,,,
,6,,,,,,,,,2A,,,,,,,,,,,,
,7,,,,,,,,,2A,,,,,,,,,,,,
,8,,,,,,,,,2A,,,,,,,,,,,,
,9,,,,,,,,,2A,,,,,,,,,,,,
,10,,,,,,,,,2A,,,,,,,,,,,,
,2,,,,,,,,,3A,,,,,,,,,,,,
,3,,,,,,,,,3A,,,,,,,,,,,,
,4,,,,,,,,,3A,,,,,,,,,,,,
,5,,,,,,,,,3A,,,,,,,,,,,,
,6,,,,,,,,,3A,,,,,,,,,,,,
,7,,,,,,,,,3A,,,,,,,,,,,,
,8,,,,,,,,,3A,,,,,,,,,,,,
,9,,,,,,,,,3A,,,,,,,,,,,,
,10,,,,,,,,,3A,,,,,,,,,,,,
,2,,,,,,,,,4A,,,,,,,,,,,,
,3,,,,,,,,,4A,,,,,,,,,,,,
,4,,,,,,,,,4A,,,,,,,,,,,,
,5,,,,,,,,,4A,,,,,,,,,,,,
,6,,,,,,,,,4A,,,,,,,,,,,,
,7,,,,,,,,,4A,,,,,,,,,,,,
,8,,,,,,,,,4A,,,,,,,,,,,,
,9,,,,,,,,,4A,,,,,,,,,,,,
,10,,,,,,,,,4A,,,,,,,,,,,,
,2,,,,,,,,,5A,,,,,,,,,,,,
,3,,,,,,,,,5A,,,,,,,,,,,,
,4,,,,,,,,,5A,,,,,,,,,,,,
,5,,,,,,,,,5A,,,,,,,,,,,,
,6,,,,,,,,,5A,,,,,,,,,,,,
,7,,,,,,,,,5A,,,,,,,,,,,,
,8,,,,,,,,,5A,,,,,,,,,,,,
,9,,,,,,,,,5A,,,,,,,,,,,,
,10,,,,,,,,,5A,,,,,,,,,,,,
original,2,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,227,114,243,12.182,8740.56,2811,"{{0, 1, 2, 8, 12, 3, 2, 3, 8, 7, 11, 17, 20, 17, 18, 21, 19, 18, 21, 20, 18, 12, 11, 10, 5, 6, 0}: 114.000000, {0, 1, 7, 6, 5, 4, 30, 0, 30, 5, 10, 9, 15, 16, 10, 16, 15, 9, 15, 14, 13, 9, 4, 30, 27, 28, 30, 28, 26, 25, 27, 24, 22, 25, 22, 23, 26, 28, 29, 0}: 113.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,236,80,272.5,20.3351,9810.43,3714,"{{0, 1, 7, 8, 12, 11, 17, 20, 17, 18, 21, 19, 18, 21, 20, 18, 12, 3, 2, 1, 0}: 78.000000, {0, 29, 28, 30, 27, 24, 22, 23, 26, 25, 22, 25, 27, 28, 26, 28, 30, 4, 5, 10, 11, 12, 3, 8, 2, 1, 0}: 80.000000, {0, 30, 4, 5, 10, 16, 15, 9, 10, 9, 15, 14, 13, 9, 4, 30, 5, 6, 7, 11, 10, 5, 6, 0}: 78.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,269,68,304.967,20.3805,10818.8,9963,"{{0, 30, 4, 9, 13, 14, 15, 9, 15, 16, 10, 11, 12, 18, 17, 11, 7, 1, 0}: 68.000000, {0, 30, 5, 10, 11, 17, 20, 21, 19, 18, 20, 21, 18, 12, 3, 12, 8, 2, 1, 0}: 66.000000, {0, 6, 5, 10, 9, 4, 30, 28, 26, 25, 22, 25, 26, 23, 22, 24, 27, 30, 27, 28, 29, 0}: 67.000000, {0, 30, 4, 5, 10, 16, 10, 5, 30, 27, 25, 26, 28, 30, 5, 6, 7, 8, 3, 2, 1, 0}: 68.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,295,60,334.067,25.7823,11667.6,9420,"{{0, 29, 28, 26, 23, 26, 25, 27, 30, 5, 10, 9, 4, 30, 4, 5, 6, 0}: 57.000000, {0, 1, 2, 8, 12, 18, 21, 20, 21, 19, 18, 20, 17, 11, 10, 5, 30, 0}: 60.000000, {0, 30, 28, 26, 25, 22, 23, 22, 24, 27, 28, 30, 4, 9, 13, 14, 15, 9, 4, 30, 27, 30, 0}: 59.000000, {0, 1, 2, 3, 8, 7, 11, 10, 16, 15, 9, 4, 30, 0, 1, 2, 1, 0}: 59.000000, {0, 1, 2, 8, 2, 3, 12, 18, 17, 11, 12, 11, 10, 5, 6, 7, 1, 0}: 60.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,310,54,364.233,25.4332,12628.6,3580,"{{0, 1, 2, 8, 12, 18, 19, 21, 18, 20, 17, 11, 12, 3, 2, 1, 0}: 54.000000, {0, 29, 0, 30, 27, 25, 22, 23, 26, 28, 26, 23, 22, 24, 27, 28, 30, 0}: 51.000000, {0, 30, 5, 10, 11, 17, 20, 21, 18, 17, 11, 7, 1, 0}: 53.000000, {0, 1, 2, 8, 3, 2, 1, 0, 1, 2, 8, 7, 6, 0}: 47.000000, {0, 1, 2, 8, 12, 11, 7, 6, 5, 30, 28, 26, 25, 26, 28, 29, 0}: 51.000000, {0, 30, 4, 9, 15, 14, 13, 9, 10, 16, 15, 9, 13, 9, 4, 5, 10, 9, 4, 30, 0}: 54.000000}"
