Instance,Edges,k,Seed,Objective,Total Time (s),Evals
howe1,37,2,8115,112.574235,13.238,11771
howe1,37,2,3520,112.565028,12.965,7286
howe1,37,2,8647,112.679021,12.981,4105
howe1,37,2,9420,113.697197,13.648,55
howe1,37,2,3116,112.679021,14.279,2615
howe1,37,2,6377,112.985252,14.366,14746
howe1,37,2,6207,113.592411,13.007,10845
howe1,37,2,4187,112.565028,15.492,3071
howe1,37,2,3641,112.679021,13.236,9826
howe1,37,2,8591,112.565028,13.441,4717
howe1,37,2,3580,112.565028,13.435,8588
howe1,37,2,8524,112.565028,13.198,438
howe1,37,2,2650,112.565028,13.292,4360
howe1,37,2,2811,112.565028,13.157,4149
howe1,37,2,9963,112.565028,13.261,6710
howe1,37,2,7537,112.565028,14.697,9723
howe1,37,2,3472,113.592411,14.813,13926
howe1,37,2,3714,112.574235,13.04,131
howe1,37,2,8158,112.574235,12.814,2833
howe1,37,2,7284,112.679021,13.328,5476
howe1,37,2,6948,112.574235,12.752,4144
howe1,37,2,6119,113.583204,13.032,2318
howe1,37,2,5253,112.574235,12.328,11661
howe1,37,2,5134,112.574235,13.022,11262
howe1,37,2,7350,112.574235,12.59,5947
howe1,37,2,2652,112.574235,13.361,14562
howe1,37,2,9968,113.390966,12.446,5998
howe1,37,2,3914,112.574235,13.912,9552
howe1,37,2,6899,112.565028,13.425,2604
howe1,37,2,4715,112.565028,13.536,3046
howe1,37,4,8115,62.282514,12.932,5913
howe1,37,4,3520,62.273307,13.751,8065
howe1,37,4,8647,63.720914,13.239,1523
howe1,37,4,9420,60.720914,14.024,10127
howe1,37,4,3116,62.273307,14.147,4330
howe1,37,4,6377,65.150345,13.091,9380
howe1,37,4,6207,60.720914,12.992,8262
howe1,37,4,4187,63.730121,13.723,7542
howe1,37,4,3641,62.282514,13.703,8871
howe1,37,4,8591,62.396507,13.435,9436
howe1,37,4,3580,62.168521,13.401,4666
howe1,37,4,8524,62.396507,13.708,14745
howe1,37,4,2650,62.396507,13.353,1005
howe1,37,4,2811,62.396507,14.155,7206
howe1,37,4,9963,62.994459,14.024,13574
howe1,37,4,7537,64.30069,14.433,4127
howe1,37,4,3472,64.240621,14.322,4243
howe1,37,4,3714,62.273307,13.065,13035
howe1,37,4,8158,63.414683,13.96,896
howe1,37,4,7284,64.42389,15.471,2056
howe1,37,4,6948,63.414683,14.154,5409
howe1,37,4,6119,65.141138,13.235,6295
howe1,37,4,5253,63.414683,13.593,7434
howe1,37,4,5134,62.889673,12.585,68
howe1,37,4,7350,65.150345,13.825,14252
howe1,37,4,2652,62.994459,13.804,8095
howe1,37,4,9968,62.396507,14.054,12868
howe1,37,4,3914,63.414683,14.668,5497
howe1,37,4,6899,62.396507,14.313,3817
howe1,37,4,4715,62.396507,13.509,8232
howe1,37,8,8115,39.008969,13.739,12797
howe1,37,8,3520,37.291721,13.566,1837
howe1,37,8,8647,38.588745,14.075,2146
howe1,37,8,9420,36.150345,13.847,11627
howe1,37,8,3116,37,13.587,293
howe1,37,8,6377,39.720914,13.358,10187
howe1,37,8,6207,39.720914,13.12,13900
howe1,37,8,4187,37.711945,13.793,13347
howe1,37,8,3641,37.291721,13.775,10584
howe1,37,8,8591,37.711945,13.876,6614
howe1,37,8,3580,37.711945,13.74,11961
howe1,37,8,8524,40.579776,13.918,9953
howe1,37,8,2650,39.008969,14.602,6730
howe1,37,8,2811,39.264338,14.542,14903
