Problem,Edges,k,best,Ave Best,Ave Seed Time (s),Ave Num Evals
gdb1,22.00,1.00,294.00,294.00,5.60,2.37
gdb1,22.00,2.00,147.00,147.00,5.93,304.83
gdb1,22.00,4.00,76.00,76.00,6.63,3044.27
gdb1,22.00,8.00,64.00,64.00,7.35,8.03
gdb10,25.00,1.00,275.00,275.00,7.00,3.60
gdb10,25.00,2.00,138.00,138.00,7.60,268.63
gdb10,25.00,4.00,70.00,72.00,8.02,7049.37
gdb10,25.00,8.00,46.00,46.00,7.94,882.50
gdb11,45.00,1.00,387.00,387.00,18.23,76.27
gdb11,45.00,2.00,194.00,194.43,18.31,5020.17
gdb11,45.00,4.00,99.00,103.23,18.69,5986.93
gdb11,45.00,8.00,59.00,60.53,19.54,7121.90
gdb12,23.00,1.00,384.00,384.00,6.30,8.07
gdb12,23.00,2.00,192.00,192.00,6.20,2360.63
gdb12,23.00,4.00,100.00,100.00,6.58,1758.57
gdb12,23.00,8.00,93.00,93.00,7.52,729.90
gdb13,28.00,1.00,520.00,520.00,8.41,5.80
gdb13,28.00,2.00,260.00,260.00,8.65,965.77
gdb13,28.00,4.00,132.00,133.23,9.20,6750.93
gdb13,28.00,8.00,128.00,128.00,9.51,69.80
gdb14,21.00,1.00,96.00,96.00,5.73,1.17
gdb14,21.00,2.00,48.00,48.00,5.81,29.03
gdb14,21.00,4.00,25.00,25.00,5.89,2533.47
gdb14,21.00,8.00,16.00,16.93,6.06,428.87
gdb15,21.00,1.00,56.00,56.00,5.20,1.50
gdb15,21.00,2.00,28.00,28.00,5.29,45.33
gdb15,21.00,4.00,15.00,15.00,5.56,93.63
gdb15,21.00,8.00,9.00,9.00,5.73,284.50
gdb16,28.00,1.00,125.00,125.00,8.45,7.87
gdb16,28.00,2.00,63.00,63.00,8.14,349.17
gdb16,28.00,4.00,32.00,32.23,8.12,5884.07
gdb16,28.00,8.00,18.00,18.63,8.25,3686.13
gdb17,28.00,1.00,91.00,91.00,8.24,11.03
gdb17,28.00,2.00,46.00,46.00,9.03,22.13
gdb17,28.00,4.00,23.00,23.00,8.27,296.17
gdb17,28.00,8.00,12.00,12.07,8.24,6136.87
gdb18,36.00,1.00,158.00,158.00,11.71,1.53
gdb18,36.00,2.00,79.00,79.00,11.84,66.10
gdb18,36.00,4.00,40.00,40.43,12.07,4583.00
gdb18,36.00,8.00,24.00,24.97,12.11,2987.50
gdb19,11.00,1.00,55.00,55.00,2.15,2.33
gdb19,11.00,2.00,28.00,28.00,2.18,83.67
gdb19,11.00,4.00,18.00,18.00,2.26,9.07
gdb19,11.00,8.00,23.00,23.00,2.92,1.00
gdb2,26.00,1.00,315.00,315.00,7.05,32.77
gdb2,26.00,2.00,158.00,158.00,7.14,1439.47
gdb2,26.00,4.00,82.00,83.90,7.41,6870.87
gdb2,26.00,8.00,59.00,59.07,8.67,2662.73
gdb20,22.00,1.00,121.00,121.00,5.59,5.47
gdb20,22.00,2.00,61.00,61.00,5.62,54.23
gdb20,22.00,4.00,31.00,31.70,6.02,4644.87
gdb20,22.00,8.00,20.00,20.27,6.88,3799.83
gdb21,33.00,1.00,154.00,154.00,11.06,85.03
gdb21,33.00,2.00,77.00,77.00,11.09,2594.50
gdb21,33.00,4.00,39.00,39.87,11.33,4904.07
gdb21,33.00,8.00,22.00,22.67,11.45,4128.00
gdb22,44.00,1.00,196.00,196.00,17.97,28.27
gdb22,44.00,2.00,98.00,98.00,19.05,346.40
gdb22,44.00,4.00,49.00,49.97,19.58,1743.23
gdb22,44.00,8.00,26.00,26.87,18.30,1832.50
gdb23,55.00,1.00,223.00,223.00,34.90,2.03
gdb23,55.00,2.00,112.00,112.00,31.26,77.17
gdb23,55.00,4.00,56.00,56.97,33.25,1004.03
gdb23,55.00,8.00,30.00,30.07,35.55,4813.47
gdb3,22.00,1.00,259.00,259.00,8.95,20.77
gdb3,22.00,2.00,130.00,130.00,8.15,1036.80
gdb3,22.00,4.00,68.00,68.00,7.88,3437.07
gdb3,22.00,8.00,59.00,59.00,9.14,25.60
gdb4,19.00,1.00,266.00,266.00,6.96,2.77
gdb4,19.00,2.00,133.00,133.00,7.44,241.20
gdb4,19.00,4.00,74.00,75.27,6.94,2603.87
gdb4,19.00,8.00,66.00,66.00,7.46,18.27
gdb5,26.00,1.00,346.00,346.00,10.85,54.60
gdb5,26.00,2.00,173.00,173.07,10.84,4942.30
gdb5,26.00,4.00,91.00,91.97,11.82,4293.23
gdb5,26.00,8.00,66.00,66.00,11.76,146.93
gdb6,22.00,1.00,279.00,279.00,7.38,5.70
gdb6,22.00,2.00,140.00,140.00,8.00,218.63
gdb6,22.00,4.00,75.00,77.93,8.28,3079.57
gdb6,22.00,8.00,64.00,64.00,9.47,11.87
gdb7,22.00,1.00,304.00,304.00,7.82,2.57
gdb7,22.00,2.00,152.00,152.00,8.16,368.27
gdb7,22.00,4.00,79.00,79.00,9.17,2695.83
gdb7,22.00,8.00,57.00,57.00,9.21,456.40
gdb8,46.00,1.00,250.00,250.00,25.37,80.43
gdb8,46.00,2.00,125.00,125.37,23.47,6189.63
gdb8,46.00,4.00,73.00,74.77,27.42,8037.77
gdb8,46.00,8.00,67.00,67.60,33.52,5994.73
gdb9,51.00,1.00,247.00,247.00,34.52,428.50
gdb9,51.00,2.00,124.00,124.83,34.98,4579.47
gdb9,51.00,4.00,64.00,65.87,35.57,6281.00
gdb9,51.00,8.00,40.00,40.70,36.05,5158.50
howe truss 1,37,1,225.130056,225.130056,16.29546667,4167.6
howe truss 1,37,2,112.565028,112.5735482,16.65216667,6574.966667
howe truss 1,37,4,61.150345,62.24109223,17.04193333,9731.866667
howe truss 1,37,8,49.150345,49.448158,18.16463333,9173.366667
howe truss 2,63,1,364.854636,364.854636,40.2933,4181.1
howe truss 2,63,2,182.427318,183.268782,41.0278,8819.166667
howe truss 2,63,4,98.291483,100.6669917,41.3469,6790.466667
howe truss 2,63,8,60.556059,62.66771327,42.54596667,6828.166667
howe truss 3,89,1,504.579216,504.579216,74.3396,5100.433333
howe truss 3,89,2,252.298815,255.3906466,79.4587,8139.933333
howe truss 3,89,4,134.172187,137.988964,85.15743333,6897.966667
howe truss 3,89,8,78.86229,82.97025527,77.57103333,8635.9
howe truss 4,115,1,644.303796,644.303796,131.8206667,5814.766667
howe truss 4,115,2,324.001553,328.517803,142.1436667,7246
howe truss 4,115,4,172.988918,175.6181829,140.2405,7523.3
howe truss 4,115,8,102.021842,104.309539,154.6004667,7773.033333
howe truss 5,141,1,784.028376,785.3930139,225.511,7553.733333
howe truss 5,141,2,398.023157,402.5735513,222.0222667,7412.9
howe truss 5,141,4,207.856749,212.5985243,207.4387,6548.8
howe truss 5,141,8,121.309897,125.4383063,199.2819333,8537.033333
ktruss truss 1,45,1,235.832436,235.832436,20.47956667,4228.233333
ktruss truss 1,45,2,117.916218,117.934463,21.05023333,7251.333333
ktruss truss 1,45,4,61.150345,63.60942293,21.25566667,6820.3
ktruss truss 1,45,8,49.150345,49.55730487,23.9202,7918.733333
ktruss truss 2,79,1,394.259396,394.259396,58.20243333,5440.866667
ktruss truss 2,79,2,199.068397,200.5083165,57.9794,6775.3
ktruss truss 2,79,4,103.967078,106.1901126,58.2624,8389.666667
ktruss truss 2,79,8,63.42389,65.91780833,60.06463333,7741.7
ktruss truss 3,113,1,550.49412,550.6843493,128.9353,6282.3
ktruss truss 3,113,2,277.388436,281.1481587,110.9216333,7724.166667
ktruss truss 3,113,4,146.3817,149.0458419,130.2755,7515.033333
ktruss truss 3,113,8,84.941767,86.99093873,115.8443667,8047.466667
ktruss truss 4,147,1,700.92108,704.3452198,251.83,6814.4
ktruss truss 4,147,2,357.033181,361.1943804,252.8130333,8304.666667
ktruss truss 4,147,4,187.689466,190.927037,235.4464333,7443.033333
ktruss truss 4,147,8,106.915919,109.6177434,226.5675,6807.133333
ktruss truss 5,181,1,856.489416,861.4605792,293.6420333,8362.833333
ktruss truss 5,181,2,434.016302,441.211896,309.4655333,8833.033333
ktruss truss 5,181,4,223.480888,232.4699957,298.0267667,6939.833333
ktruss truss 5,181,8,129.3817,133.4989577,291.9784,8525.6
pratt truss 1,37,1,225.130056,225.130056,16.18793333,1847.5
pratt truss 1,37,2,112.565028,112.5940736,15.33333333,7910.133333
pratt truss 1,37,4,58.282514,58.61837287,15.7143,9595.4
pratt truss 1,37,8,47.414683,47.89959307,17.19263333,7293.2
pratt truss 2,63,1,372.854636,372.854636,39.0798,4467.1
pratt truss 2,63,2,186.427318,187.2564505,42.69636667,8204.033333
pratt truss 2,63,4,97.012635,98.93988953,41.6231,8096.133333
pratt truss 2,63,8,58.711945,61.3730545,41.44373333,8476.766667
pratt truss 3,89,1,520.579216,520.579216,74.7045,5319.4
